Compound,A_2b,B_2b,C_2b,D_2b,E_2b,A_13b,B_13b,C_13b,D_13b,E_13b,A_132b,B_132b,C_132b,D_132b,E_132b,A_22b,B_22b,C_22b,D_22b,E_22b
Factor,1.00E-03,1.00E-02,1.00E-02,1.00E-02,1,1.00E-06,1.00E-05,1.00E-04,1.00E-04,1,1.00E-03,1.00E-02,1.00E-02,1.00E-02,1,1.00E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
H2O_g,137.421,-64.383,204.176,-151.087,1.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2_g,NaN,NaN,NaN,NaN,NaN,337.660,-380.158,215.297,194.858,0.991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2_g,4.783,-1.839,16.090,23.524,0.927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CH4_g,130.627,-62.458,194.656,-158.370,1.636,96.945,-144.788,91.262,196.812,0.992,168.779,-83.028,247.554,-213.261,1.856,106.778,-72.203,189.641,-215.319,90.609
CH3OH,182.591,-91.671,267.380,-238.241,1.958,234.470,-310.213,180.119,90.771,0.996,249.049,-130.131,366.133,-344.898,2.391,160.503,-110.846,293.114,-335.342,141.135
CH3COOH,155.320,-77.350,230.683,-198.767,1.798,100.086,-177.146,136.586,125.940,0.995,209.806,-108.220,309.711,-283.216,2.140,125.327,-85.838,226.473,-258.318,108.785
CH3COOH,NaN,NaN,NaN,NaN,NaN,376.418,-496.601,301.421,-55.714,1.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHOMFR,181.653,-92.012,266.244,-238.334,1.959,397.793,-496.087,280.298,11.322,0.999,266.501,-141.636,394.005,-377.857,2.531,NaN,NaN,NaN,NaN,NaN
CHOH4MPT,168.547,-85.518,249.729,-222.961,1.896,365.873,-466.108,272.013,-3.047,0.999,244.502,-129.601,362.748,-345.432,2.394,NaN,NaN,NaN,NaN,NaN
CHH4MPT,195.478,-101.046,288.642,-259.554,2.044,284.386,-389.139,249.574,32.095,0.998,284.794,-153.837,424.386,-407.709,2.648,NaN,NaN,NaN,NaN,NaN
CH2H4MPT_S,230.033,-120.302,338.561,-317.557,2.277,277.203,-354.319,223.792,20.167,0.999,324.191,-176.815,483.570,-477.038,2.931,205.153,-143.588,381.662,-438.791,184.900
CH2H4MPT_R,230.714,-121.129,341.502,-322.530,2.302,277.203,-354.319,223.792,20.167,0.999,324.277,-177.147,484.820,-479.472,2.942,205.153,-143.588,381.662,-438.791,184.900
CH3H4MPT,180.957,-91.660,267.497,-239.266,1.964,243.089,-301.290,177.597,80.947,0.997,246.024,-129.336,364.234,-344.048,2.391,156.170,-107.879,285.365,-326.515,137.466
CH3SCoM,164.319,-82.161,242.168,-210.262,1.842,152.839,-197.916,126.247,114.374,0.995,216.035,-111.966,319.046,-293.357,2.182,135.033,-92.796,245.092,-279.893,117.863
CH3COSCoA_C1,157.643,-78.365,232.909,-200.537,1.805,202.747,-257.052,158.118,103.706,0.996,214.231,-110.773,316.256,-290.118,2.168,128.799,-88.306,233.059,-265.928,111.982
CH3COSCoA_C2,NaN,NaN,NaN,NaN,NaN,220.645,-331.492,228.555,-3.505,0.999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F420H2_S,184.583,-94.693,273.108,-247.161,1.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSCOB,34.348,-14.865,63.062,-30.632,1.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
